State,City,Order Date,Distributor_Name,Location,Beverage_Category,Beverage_Name,Price (INR),Rating,Rating Count
Karnataka,Bengaluru,2025-07-06 00:00:00,Noida Beverage Distributor,Kengeri,Juice,Tropicana Pineapple,260.0,4.0,0
Karnataka,Bengaluru,2025-07-02 00:00:00,Surat Retail Distributor,Kengeri,Juice,Tropicana Guava,234.0,3.8,20
Karnataka,Bengaluru,2025-10-05 00:00:00,Faridabad Pepsi Hub,Kengeri,Iced Tea,Lipton Ice Tea Peach,247.0,4.0,0
Karnataka,Bengaluru,2025-11-07 00:00:00,Nagpur Supply Center,Kengeri,Carbonated Soft Drink,Pepsi,247.0,4.0,0
Karnataka,Bengaluru,2025-07-07 00:00:00,Ranchi Supply Distributor,Kengeri,Carbonated Soft Drink,7UP,195.0,4.7,1
Karnataka,Bengaluru,21/01/2025,Raipur Beverage Depot,Kengeri,Juice,Tropicana Guava,221.0,4.9,19
Karnataka,Bengaluru,2025-10-06 00:00:00,Chandigarh Distribution Center,Kengeri,Flavored Drink,Nimbooz Lemon,221.0,4.0,0
Karnataka,Bengaluru,23/07/2025,Nagpur Supply Center,Kengeri,Sports Drink,Gatorade Orange,221.0,4.0,0
Karnataka,Bengaluru,27/02/2025,Haryana Retail Distributor,Kengeri,Juice,Slice Mango,221.0,4.0,0
Karnataka,Bengaluru,22/01/2025,Bhopal Beverage Hub,Kengeri,Packaged Water,Aquafina Water,195.0,4.0,0
Karnataka,Bengaluru,24/08/2025,Faridabad Pepsi Hub,Kengeri,Packaged Water,Aquafina Water,208.0,4.0,0
Karnataka,Bengaluru,30/03/2025,Coimbatore Distribution Center,Kengeri,Carbonated Soft Drink,Pepsi,195.0,4.0,0
Karnataka,Bengaluru,18/02/2025,Ludhiana Pepsi Distributor,Kengeri,Sports Drink,Gatorade Lemon,195.0,2.0,9
Karnataka,Bengaluru,2025-07-08 00:00:00,Nagpur Supply Center,Kengeri,Carbonated Soft Drink,Pepsi,195.0,4.0,0
Karnataka,Bengaluru,28/02/2025,Indore Pepsi Distributor,Kengeri,Juice,Tropicana Pineapple,182.0,4.3,68
Karnataka,Bengaluru,19/06/2025,Amritsar Beverage Hub,Kengeri,Iced Tea,Lipton Ice Tea Lemon,195.0,3.2,16
Karnataka,Bengaluru,2025-08-08 00:00:00,Udaipur Distribution Hub,Kengeri,Carbonated Soft Drink,7UP,195.0,4.0,19
Karnataka,Bengaluru,2025-07-07 00:00:00,Delhi NCR Distribution,Kengeri,Juice,Tropicana Apple,169.0,4.0,0
Karnataka,Bengaluru,27/07/2025,Ghaziabad Supply Chain,Kengeri,Packaged Water,Aquafina Sparkling,195.0,4.2,22
Karnataka,Bengaluru,15/01/2025,Ludhiana Pepsi Distributor,Kengeri,Iced Tea,Lipton Ice Tea Lemon,221.0,4.6,18
Karnataka,Bengaluru,2025-09-07 00:00:00,Kochi Beverage Depot,Kengeri,Flavored Drink,Nimbooz Lemon,247.0,4.7,9
Karnataka,Bengaluru,2025-09-07 00:00:00,Bangalore Beverage Depot,Kengeri,Carbonated Soft Drink,7UP,221.0,4.9,27
Karnataka,Bengaluru,24/06/2025,Amritsar Beverage Hub,Kengeri,Iced Tea,Lipton Ice Tea Lemon,247.0,4.0,0
Karnataka,Bengaluru,2025-09-07 00:00:00,Delhi NCR Distribution,Kengeri,Sports Drink,Gatorade Orange,247.0,4.9,6
Karnataka,Bengaluru,20/02/2025,Jaipur Beverage Distributor,Kengeri,Juice,Tropicana Mixed Fruit,247.0,4.7,3
Karnataka,Bengaluru,18/04/2025,Coimbatore Distribution Center,Kengeri,Sports Drink,Gatorade Lemon,260.0,4.0,0
Karnataka,Bengaluru,24/02/2025,Faridabad Pepsi Hub,Kengeri,Energy Drink,Sting Gold Rush,195.0,4.2,2
Karnataka,Bengaluru,2025-05-03 00:00:00,Bangalore Beverage Depot,Kengeri,Energy Drink,Sting Energy,221.0,4.0,0
Karnataka,Bengaluru,2025-11-05 00:00:00,Bhubaneswar Pepsi Hub,Kengeri,Carbonated Soft Drink,Mountain Dew,208.0,4.0,0
Karnataka,Bengaluru,17/08/2025,Indore Pepsi Distributor,Kengeri,Packaged Water,Aquafina Sparkling,195.0,4.0,0
Karnataka,Bengaluru,20/02/2025,Jaipur Beverage Distributor,Kengeri,Flavored Drink,Nimbooz Masala Soda,130.0,4.0,0
Karnataka,Bengaluru,15/05/2025,Chandigarh Distribution Center,Kengeri,Carbonated Soft Drink,Pepsi,247.0,4.0,0
Karnataka,Bengaluru,21/01/2025,Kolkata Beverage Distributor,Kengeri,Iced Tea,Lipton Ice Tea Lemon,260.0,5.0,3
Karnataka,Bengaluru,14/03/2025,Gurgaon Beverage Depot,Kengeri,Carbonated Soft Drink,Mirinda Apple,195.0,3.6,5
Karnataka,Bengaluru,16/06/2025,Indore Pepsi Distributor,Kengeri,Carbonated Soft Drink,Mirinda Apple,260.0,4.4,4
Karnataka,Bengaluru,18/01/2025,Chandigarh Distribution Center,Kengeri,Juice,Tropicana Mixed Fruit,260.0,4.0,0
Karnataka,Bengaluru,2025-12-05 00:00:00,Nagpur Supply Center,Kengeri,Flavored Drink,Nimbooz Masala Soda,247.0,4.7,17
Karnataka,Bengaluru,30/03/2025,Chennai Pepsi Distributor,Kengeri,Carbonated Soft Drink,Pepsi Black,228.0,2.6,45
Karnataka,Bengaluru,2025-01-03 00:00:00,Hyderabad Beverage Hub,Kengeri,Sports Drink,Gatorade Lemon,208.0,4.1,49
Karnataka,Bengaluru,14/01/2025,Raipur Beverage Depot,Kengeri,Juice,Tropicana Guava,247.0,4.0,0
Karnataka,Bengaluru,30/08/2025,Faridabad Pepsi Hub,Kengeri,Iced Tea,Lipton Ice Tea Peach,182.0,4.3,4
Karnataka,Bengaluru,2025-09-01 00:00:00,Pune Pepsi Distributor,Kengeri,Carbonated Soft Drink,Mirinda Lemon,202.0,4.4,92
Karnataka,Bengaluru,31/03/2025,Delhi NCR Distribution,Kengeri,Juice,Tropicana Pineapple,156.0,4.3,53
Karnataka,Bengaluru,22/02/2025,Pune Pepsi Distributor,Kengeri,Packaged Water,Aquafina Sparkling,221.0,4.0,0
Karnataka,Bengaluru,2025-10-05 00:00:00,Indore Pepsi Distributor,Kengeri,Carbonated Soft Drink,Mirinda Orange,208.0,4.4,61
Karnataka,Bengaluru,25/03/2025,Nagpur Supply Center,Kengeri,Juice,Tropicana Pineapple,208.0,4.1,2
Karnataka,Bengaluru,2025-02-04 00:00:00,Ludhiana Pepsi Distributor,Kengeri,Energy Drink,Sting Gold Rush,195.0,3.6,43
Karnataka,Bengaluru,21/04/2025,Gurgaon Beverage Depot,Kengeri,Carbonated Soft Drink,Mirinda Lemon,104.0,4.5,226
Karnataka,Bengaluru,2025-07-07 00:00:00,Coimbatore Distribution Center,Kengeri,Juice,Tropicana Orange,65.0,4.5,69
Karnataka,Bengaluru,18/07/2025,Bhubaneswar Pepsi Hub,Kengeri,Carbonated Soft Drink,7UP,117.0,4.7,57
Karnataka,Bengaluru,21/06/2025,Noida Beverage Distributor,Kengeri,Flavored Drink,Nimbooz Masala Soda,59.0,4.3,282
Karnataka,Bengaluru,2025-08-01 00:00:00,Udaipur Distribution Hub,Kengeri,Carbonated Soft Drink,Pepsi,117.0,4.7,48
Karnataka,Bengaluru,24/06/2025,Patna Beverage Depot,Kengeri,Juice,Tropicana Orange,78.0,4.2,16
Karnataka,Bengaluru,2025-04-02 00:00:00,Nagpur Supply Center,Kengeri,Juice,Slice Mango,85.0,4.6,109
Karnataka,Bengaluru,25/07/2025,Kochi Beverage Depot,Kengeri,Energy Drink,Sting Gold Rush,65.0,4.8,43
Karnataka,Bengaluru,22/03/2025,Haryana Retail Distributor,Kengeri,Carbonated Soft Drink,Mountain Dew,91.0,4.8,12
Karnataka,Bengaluru,13/06/2025,Haryana Retail Distributor,Kengeri,Sports Drink,Gatorade Blue Bolt,65.0,4.6,65
Karnataka,Bengaluru,19/02/2025,Amritsar Beverage Hub,Kengeri,Energy Drink,Sting Energy,91.0,4.6,213
Karnataka,Bengaluru,14/04/2025,Punjab Beverage Depot,Kengeri,Energy Drink,Sting Energy,195.0,4.5,194
Karnataka,Bengaluru,2025-12-05 00:00:00,Bangalore Beverage Depot,Kengeri,Packaged Water,Aquafina Water,221.0,3.0,4
Karnataka,Bengaluru,2025-02-01 00:00:00,Bangalore Beverage Depot,Kengeri,Iced Tea,Lipton Ice Tea Lemon,182.0,4.8,94
Karnataka,Bengaluru,14/05/2025,Raipur Beverage Depot,Kengeri,Juice,Tropicana Pineapple,221.0,4.0,0
Karnataka,Bengaluru,23/02/2025,Chennai Pepsi Distributor,Kengeri,Carbonated Soft Drink,Pepsi,182.0,4.9,39
Karnataka,Bengaluru,16/04/2025,Hyderabad Beverage Hub,Kengeri,Packaged Water,Aquafina Sparkling,208.0,4.8,45
Karnataka,Bengaluru,2025-04-01 00:00:00,Ranchi Supply Distributor,Kengeri,Sports Drink,Gatorade Orange,208.0,4.0,0
Karnataka,Bengaluru,23/02/2025,Haryana Retail Distributor,Kengeri,Sports Drink,Gatorade Orange,208.0,4.0,0
Karnataka,Bengaluru,2025-09-08 00:00:00,Delhi NCR Distribution,Kengeri,Carbonated Soft Drink,Pepsi Black,208.0,4.0,0
Karnataka,Bengaluru,2025-10-07 00:00:00,Hyderabad Beverage Hub,Kengeri,Carbonated Soft Drink,Pepsi Black,59.0,4.4,141
Karnataka,Bengaluru,26/05/2025,Noida Beverage Distributor,Kengeri,Energy Drink,Sting Energy,52.0,4.4,266
Karnataka,Bengaluru,2025-06-08 00:00:00,Bhubaneswar Pepsi Hub,Kengeri,Iced Tea,Lipton Ice Tea Peach,98.0,4.0,34
Karnataka,Bengaluru,13/02/2025,Kochi Beverage Depot,Kengeri,Packaged Water,Aquafina Water,72.0,5.0,3
Karnataka,Bengaluru,2025-11-06 00:00:00,Bhubaneswar Pepsi Hub,Kengeri,Juice,Tropicana Pineapple,169.0,4.0,0
Karnataka,Bengaluru,21/07/2025,Indore Pepsi Distributor,Kengeri,Iced Tea,Lipton Ice Tea Lemon,72.0,4.4,126
Karnataka,Bengaluru,2025-09-07 00:00:00,Ludhiana Pepsi Distributor,Kengeri,Energy Drink,Sting Gold Rush,91.0,4.1,158
Karnataka,Bengaluru,16/08/2025,Ranchi Supply Distributor,Kengeri,Sports Drink,Gatorade Blue Bolt,104.0,4.0,0
Karnataka,Bengaluru,14/01/2025,Bhubaneswar Pepsi Hub,Kengeri,Carbonated Soft Drink,Mirinda Lemon,104.0,4.4,19
Karnataka,Bengaluru,2025-05-04 00:00:00,Jaipur Beverage Distributor,Kengeri,Packaged Water,Aquafina Water,104.0,4.0,0
Karnataka,Bengaluru,17/02/2025,Patna Beverage Depot,Kengeri,Juice,Tropicana Guava,104.0,4.0,0
Karnataka,Bengaluru,15/01/2025,Chandigarh Distribution Center,Kengeri,Packaged Water,Aquafina Sparkling,91.0,4.0,0
Karnataka,Bengaluru,19/07/2025,Ahmedabad Beverage Depot,Kengeri,Packaged Water,Aquafina Water,78.0,4.0,0
Karnataka,Bengaluru,25/07/2025,Punjab Beverage Depot,Kengeri,Sports Drink,Gatorade Blue Bolt,59.0,3.9,52
Karnataka,Bengaluru,2025-03-08 00:00:00,Ahmedabad Beverage Depot,Kengeri,Carbonated Soft Drink,Mirinda Orange,130.0,4.0,0
Karnataka,Bengaluru,2025-09-07 00:00:00,Kolkata Beverage Distributor,Kengeri,Packaged Water,Aquafina Water,195.0,4.0,0
Karnataka,Bengaluru,2025-09-02 00:00:00,Mumbai Beverage Hub,Kengeri,Carbonated Soft Drink,Pepsi Black,195.0,4.0,0
Karnataka,Bengaluru,2025-01-08 00:00:00,Patna Beverage Depot,Kengeri,Sports Drink,Gatorade Orange,176.0,4.0,0
Karnataka,Bengaluru,27/07/2025,Udaipur Distribution Hub,Kengeri,Sports Drink,Gatorade Lemon,169.0,4.0,0
Karnataka,Bengaluru,25/08/2025,Patna Beverage Depot,Kengeri,Carbonated Soft Drink,Mirinda Orange,169.0,4.0,0
Karnataka,Bengaluru,23/03/2025,Coimbatore Distribution Center,Kengeri,Carbonated Soft Drink,Mirinda Orange,169.0,5.0,3
Karnataka,Bengaluru,21/04/2025,Raipur Beverage Depot,Kengeri,Juice,Tropicana Pineapple,169.0,4.0,0
Karnataka,Bengaluru,22/02/2025,Jaipur Beverage Distributor,Kengeri,Carbonated Soft Drink,Pepsi Black,169.0,4.0,0
Karnataka,Bengaluru,24/01/2025,Punjab Beverage Depot,Kengeri,Juice,Tropicana Mixed Fruit,169.0,4.0,0
Karnataka,Bengaluru,2025-03-06 00:00:00,Ahmedabad Beverage Depot,Kengeri,Juice,Tropicana Apple,169.0,4.0,0
Karnataka,Bengaluru,2025-05-08 00:00:00,Ahmedabad Beverage Depot,Kengeri,Juice,Tropicana Guava,247.0,4.0,0
Karnataka,Bengaluru,2025-07-07 00:00:00,Ahmedabad Beverage Depot,Kengeri,Sports Drink,Gatorade Lemon,98.0,4.0,9
Karnataka,Bengaluru,2025-04-05 00:00:00,Bhopal Beverage Hub,Kengeri,Energy Drink,Sting Gold Rush,98.0,4.7,13
Karnataka,Bengaluru,25/08/2025,Pune Pepsi Distributor,Kengeri,Sports Drink,Gatorade Blue Bolt,117.0,5.0,7
Karnataka,Bengaluru,2025-10-02 00:00:00,Jabalpur Distribution Center,Kengeri,Energy Drink,Sting Gold Rush,104.0,5.0,5
Karnataka,Bengaluru,2025-06-06 00:00:00,Noida Beverage Distributor,Kengeri,Carbonated Soft Drink,Mountain Dew,111.0,4.0,0
Karnataka,Bengaluru,15/01/2025,Ludhiana Pepsi Distributor,Kengeri,Juice,Tropicana Guava,111.0,4.0,0
Karnataka,Bengaluru,14/02/2025,Ghaziabad Supply Chain,Kengeri,Iced Tea,Lipton Ice Tea Lemon,104.0,4.0,0
Karnataka,Bengaluru,2025-06-03 00:00:00,Ahmedabad Beverage Depot,Kengeri,Carbonated Soft Drink,Mountain Dew,98.0,4.0,0
Karnataka,Bengaluru,30/03/2025,Kolkata Beverage Distributor,Kengeri,Sports Drink,Gatorade Orange,111.0,4.0,0
Karnataka,Bengaluru,2025-12-03 00:00:00,Haryana Retail Distributor,Kengeri,Energy Drink,Sting Gold Rush,104.0,4.0,0
Karnataka,Bengaluru,2025-09-01 00:00:00,Jabalpur Distribution Center,Kengeri,Iced Tea,Lipton Ice Tea Lemon,98.0,4.0,0
Karnataka,Bengaluru,16/02/2025,Surat Retail Distributor,Kengeri,Iced Tea,Lipton Ice Tea Peach,91.0,4.5,18
Karnataka,Bengaluru,2025-09-05 00:00:00,Ahmedabad Beverage Depot,Kengeri,Iced Tea,Lipton Ice Tea Peach,62.0,4.4,20
Karnataka,Bengaluru,24/08/2025,Kochi Beverage Depot,Kengeri,Juice,Tropicana Orange,72.0,3.1,13
Karnataka,Bengaluru,16/05/2025,Raipur Beverage Depot,Kengeri,Energy Drink,Sting Gold Rush,111.0,4.0,0
Karnataka,Bengaluru,2025-04-08 00:00:00,Nagpur Supply Center,Kengeri,Carbonated Soft Drink,7UP Nimbooz,91.0,4.0,0
Karnataka,Bengaluru,16/02/2025,Delhi NCR Distribution,Kengeri,Flavored Drink,Nimbooz Masala Soda,163.0,4.0,0
Karnataka,Bengaluru,19/05/2025,Haryana Retail Distributor,Kengeri,Carbonated Soft Drink,Mirinda Lemon,163.0,4.0,0
Karnataka,Bengaluru,31/08/2025,Indore Pepsi Distributor,Kengeri,Juice,Tropicana Orange,163.0,4.0,0
Karnataka,Bengaluru,16/02/2025,Coimbatore Distribution Center,Kengeri,Carbonated Soft Drink,Mirinda Apple,137.0,4.0,0
Karnataka,Bengaluru,16/05/2025,Amritsar Beverage Hub,Kengeri,Juice,Tropicana Mixed Fruit,137.0,4.0,0
Karnataka,Bengaluru,2025-12-06 00:00:00,Kochi Beverage Depot,Kengeri,Packaged Water,Aquafina Sparkling,124.0,4.0,0
Karnataka,Bengaluru,2025-12-06 00:00:00,Ludhiana Pepsi Distributor,Kengeri,Carbonated Soft Drink,Mirinda Apple,124.0,4.0,0
Karnataka,Bengaluru,2025-02-02 00:00:00,Indore Pepsi Distributor,Kengeri,Juice,Tropicana Mixed Fruit,117.0,4.0,0
Karnataka,Bengaluru,2025-03-05 00:00:00,Jaipur Beverage Distributor,Kengeri,Packaged Water,Aquafina Sparkling,111.0,4.5,8
Karnataka,Bengaluru,2025-05-01 00:00:00,Pune Pepsi Distributor,Kengeri,Iced Tea,Lipton Ice Tea Lemon,111.0,4.2,6
Karnataka,Bengaluru,22/08/2025,Noida Beverage Distributor,Kengeri,Juice,Tropicana Orange,104.0,4.7,10
Karnataka,Bengaluru,19/08/2025,Bhubaneswar Pepsi Hub,Kengeri,Iced Tea,Lipton Ice Tea Lemon,163.0,4.0,0
Karnataka,Bengaluru,2025-10-02 00:00:00,Bhubaneswar Pepsi Hub,Kengeri,Carbonated Soft Drink,Pepsi Black,52.0,4.0,0
Karnataka,Bengaluru,28/01/2025,Udaipur Distribution Hub,Kengeri,Sports Drink,Gatorade Orange,208.0,4.7,82
Karnataka,Bengaluru,15/05/2025,Udaipur Distribution Hub,Kengeri,Carbonated Soft Drink,7UP,234.0,4.0,0
Karnataka,Bengaluru,20/07/2025,Coimbatore Distribution Center,Kengeri,Juice,Tropicana Orange,221.0,4.0,0
Karnataka,Bengaluru,16/02/2025,Kolkata Beverage Distributor,Kengeri,Flavored Drink,Nimbooz Lemon,221.0,4.0,0
Karnataka,Bengaluru,2025-12-01 00:00:00,Coimbatore Distribution Center,Kengeri,Carbonated Soft Drink,Mirinda Orange,221.0,4.2,23
Karnataka,Bengaluru,2025-11-06 00:00:00,Gurgaon Beverage Depot,Kengeri,Juice,Slice Mango,260.0,4.8,59
Karnataka,Bengaluru,2025-02-02 00:00:00,Surat Retail Distributor,Kengeri,Juice,Slice Mango,286.0,4.0,0
Karnataka,Bengaluru,17/02/2025,Bhopal Beverage Hub,Kengeri,Juice,Tropicana Apple,286.0,4.0,0
Karnataka,Bengaluru,31/05/2025,Punjab Beverage Depot,Kengeri,Sports Drink,Gatorade Blue Bolt,260.0,4.0,0
Karnataka,Bengaluru,16/02/2025,Mumbai Beverage Hub,Kengeri,Juice,Tropicana Orange,260.0,4.0,0
Karnataka,Bengaluru,2025-04-08 00:00:00,Kochi Beverage Depot,Kengeri,Iced Tea,Lipton Ice Tea Peach,299.0,4.0,0
Karnataka,Bengaluru,2025-06-02 00:00:00,Ahmedabad Beverage Depot,Kengeri,Carbonated Soft Drink,Mirinda Apple,260.0,4.0,0
Karnataka,Bengaluru,2025-09-04 00:00:00,Ludhiana Pepsi Distributor,Kengeri,Flavored Drink,Nimbooz Lemon,260.0,5.0,3
Karnataka,Bengaluru,21/06/2025,Coimbatore Distribution Center,Kengeri,Packaged Water,Aquafina Sparkling,260.0,4.0,0
Karnataka,Bengaluru,14/04/2025,Chandigarh Distribution Center,Kengeri,Sports Drink,Gatorade Lemon,260.0,4.0,0
Karnataka,Bengaluru,2025-02-08 00:00:00,Hyderabad Beverage Hub,Kengeri,Flavored Drink,Nimbooz Lemon,260.0,4.0,0
Karnataka,Bengaluru,2025-07-08 00:00:00,Gurgaon Beverage Depot,Kengeri,Iced Tea,Lipton Ice Tea Lemon,260.0,4.0,0
Karnataka,Bengaluru,2025-04-02 00:00:00,Raipur Beverage Depot,Kengeri,Carbonated Soft Drink,Mirinda Apple,299.0,4.0,0
Karnataka,Bengaluru,2025-12-07 00:00:00,Ghaziabad Supply Chain,Kengeri,Carbonated Soft Drink,7UP,312.0,4.0,0
Karnataka,Bengaluru,15/08/2025,Amritsar Beverage Hub,Kengeri,Iced Tea,Lipton Ice Tea Peach,190.0,4.4,246
Karnataka,Bengaluru,2025-11-04 00:00:00,Chennai Pepsi Distributor,Kengeri,Juice,Tropicana Apple,260.0,4.8,10
Karnataka,Bengaluru,24/06/2025,Jaipur Beverage Distributor,Kengeri,Carbonated Soft Drink,Mountain Dew,130.0,1.9,19
Karnataka,Bengaluru,25/07/2025,Chennai Pepsi Distributor,Kengeri,Carbonated Soft Drink,Mirinda Orange,124.0,4.9,48
Karnataka,Bengaluru,2025-11-05 00:00:00,Bhopal Beverage Hub,Kengeri,Energy Drink,Sting Gold Rush,124.0,4.0,0
Karnataka,Bengaluru,2025-01-01 00:00:00,Ludhiana Pepsi Distributor,Kengeri,Sports Drink,Gatorade Orange,130.0,4.0,0
Karnataka,Bengaluru,2025-05-01 00:00:00,Jabalpur Distribution Center,Kengeri,Juice,Tropicana Apple,130.0,4.0,0
Karnataka,Bengaluru,2025-06-08 00:00:00,Chennai Pepsi Distributor,Kengeri,Sports Drink,Gatorade Orange,130.0,4.0,0
Karnataka,Bengaluru,22/05/2025,Nagpur Supply Center,Kengeri,Carbonated Soft Drink,Pepsi Black,124.0,4.0,0
Karnataka,Bengaluru,13/04/2025,Ranchi Supply Distributor,Kengeri,Juice,Tropicana Guava,98.0,4.0,0
Karnataka,Bengaluru,27/01/2025,Jabalpur Distribution Center,Kengeri,Carbonated Soft Drink,7UP Nimbooz,91.0,4.0,0
Karnataka,Bengaluru,17/05/2025,Kolkata Beverage Distributor,Kengeri,Carbonated Soft Drink,7UP Nimbooz,98.0,4.0,0
Karnataka,Bengaluru,26/07/2025,Pune Pepsi Distributor,Kengeri,Juice,Tropicana Apple,98.0,4.0,0
Karnataka,Bengaluru,15/01/2025,Ahmedabad Beverage Depot,Kengeri,Sports Drink,Gatorade Lemon,98.0,4.0,0
Karnataka,Bengaluru,16/02/2025,Jaipur Beverage Distributor,Kengeri,Juice,Tropicana Mixed Fruit,98.0,4.0,0
Karnataka,Bengaluru,2025-11-02 00:00:00,Kochi Beverage Depot,Kengeri,Juice,Slice Mango,91.0,5.0,3
Karnataka,Bengaluru,2025-04-05 00:00:00,Surat Retail Distributor,Kengeri,Juice,Tropicana Guava,91.0,4.0,0
Karnataka,Bengaluru,24/07/2025,Kolkata Beverage Distributor,Kengeri,Iced Tea,Lipton Ice Tea Peach,91.0,4.0,0
Karnataka,Bengaluru,28/06/2025,Jabalpur Distribution Center,Kengeri,Carbonated Soft Drink,Mirinda Apple,117.0,4.7,3
Karnataka,Bengaluru,16/02/2025,Bhopal Beverage Hub,Kengeri,Juice,Slice Mango,117.0,4.0,0
Karnataka,Bengaluru,2025-06-04 00:00:00,Ranchi Supply Distributor,Kengeri,Juice,Slice Mango,117.0,4.0,0
Karnataka,Bengaluru,19/08/2025,Jabalpur Distribution Center,Kengeri,Juice,Tropicana Orange,117.0,4.0,0
Karnataka,Bengaluru,29/08/2025,Jabalpur Distribution Center,Kengeri,Juice,Tropicana Orange,117.0,4.0,0
Karnataka,Bengaluru,21/02/2025,Gurgaon Beverage Depot,Kengeri,Juice,Slice Mango,117.0,4.0,0
Karnataka,Bengaluru,2025-06-04 00:00:00,Kochi Beverage Depot,Kengeri,Packaged Water,Aquafina Water,117.0,4.0,0
Karnataka,Bengaluru,2025-12-05 00:00:00,Bhubaneswar Pepsi Hub,Kengeri,Carbonated Soft Drink,Pepsi,130.0,4.0,0
Karnataka,Bengaluru,2025-10-08 00:00:00,Bhopal Beverage Hub,Kengeri,Juice,Tropicana Orange,130.0,4.0,0
Karnataka,Bengaluru,17/08/2025,Kolkata Beverage Distributor,Kengeri,Carbonated Soft Drink,Pepsi,130.0,4.0,0
Karnataka,Bengaluru,31/05/2025,Ahmedabad Beverage Depot,Kengeri,Juice,Slice Mango,117.0,4.0,0
Karnataka,Bengaluru,19/08/2025,Punjab Beverage Depot,Kengeri,Carbonated Soft Drink,Pepsi,130.0,4.0,0
Karnataka,Bengaluru,25/08/2025,Raipur Beverage Depot,Kengeri,Sports Drink,Gatorade Orange,91.0,4.8,36
Karnataka,Bengaluru,23/05/2025,Pune Pepsi Distributor,Kengeri,Juice,Slice Mango,104.0,4.0,0
Karnataka,Bengaluru,20/06/2025,Kolkata Beverage Distributor,Kengeri,Carbonated Soft Drink,Mirinda Orange,91.0,4.0,0
Karnataka,Bengaluru,29/01/2025,Kochi Beverage Depot,Kengeri,Juice,Tropicana Apple,39.0,3.1,24
Karnataka,Bengaluru,2025-05-02 00:00:00,Delhi NCR Distribution,Kengeri,Juice,Tropicana Apple,49.0,4.8,71
Karnataka,Bengaluru,13/01/2025,Delhi NCR Distribution,Kengeri,Flavored Drink,Nimbooz Masala Soda,49.0,4.6,99
